Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;6;15;981,824597;28,060349;5,1;0,484677
28/02/2018;11;176,4;981,363095;26,31369;4,3;0,666369
31/03/2018;10;130,6;981,358737;26,435484;6,2;0,741532
30/04/2018;13;30,4;984,697639;24,857083;4,2;0,925972
31/05/2018;2;null;985,829337;24,585285;4,5;1,059821
30/06/2018;6;null;988,169241;23,632997;4,7;1,463408
31/07/2018;5;8,8;988,089247;22,824328;5,5;1,701613
31/08/2018;2;3;987,164785;25,257796;5,3;1,810484
30/09/2018;1;14,8;983,975;26,692917;5,8;2,359583
31/10/2018;9;66,8;982,35;27,443414;6,9;2,175
30/11/2018;11;91;982,645972;26,076528;6,2;1,830972
31/12/2018;15;172,8;982,548253;25,60672;6,2;1,360484
31/01/2019;3;11,8;983,840054;28,281183;5,3;1,856048
28/02/2019;6;40,4;981,181845;29,26994;9,5;1,794643
31/03/2019;11;87;982,302419;28,419355;5,8;1,656317
30/04/2019;7;39,8;982,653333;27,151667;5;1,461667
31/05/2019;3;4,4;983,881855;26,249731;5,2;1,577554
30/06/2019;6;10,2;988,23125;23,865;5,4;1,554167
31/07/2019;5;5;988,178898;22,735215;5,3;1,790726
31/08/2019;7;12,6;989,450806;23,743414;7,5;2,080779
30/09/2019;1;0,4;985,991111;26,037639;6,1;2,56875
31/10/2019;4;42;983,207661;27,792204;7,3;2,817742
30/11/2019;6;47,8;980,8025;28,9;6,4;2,320833
31/12/2019;13;39;981,514113;28,613038;6,8;2,476747
31/01/2020;12;136,8;980,92836;28,056452;6,4;1,817339
29/02/2020;9;139;981,998994;28,20273;8;1,763218
31/03/2020;18;185,8;982,773387;25,471774;6,9;1,19543
30/04/2020;6;15,6;984,393056;25,08125;4,2;1,293889
31/05/2020;9;74,6;986,260081;23,297715;3,8;1,290323
30/06/2020;2;2,6;987,475532;22,4125;5,1;1,476084
31/07/2020;10;35,6;987,78871;22,200134;5,7;1,618414
31/08/2020;8;8;987,924328;23,107796;5,7;2,055645
30/09/2020;2;3,4;985,821389;26,432222;6,9;2,628472
31/10/2020;10;57,4;982,215323;27,575134;6,7;2,356048
30/11/2020;19;108,8;982,663611;24,893472;5,8;1,871944
31/12/2020;4;18,2;981,625806;27,675;6;2,298118
31/01/2021;6;15,2;981,808064;28,470699;6,2;2,434409
28/02/2021;13;170,8;981,082738;26,451042;6,1;1,737649
31/03/2021;9;63;982,016532;26,572446;6;1,586156
30/04/2021;8;92,2;983,123927;25,352614;8,3;1,526603
31/05/2021;1;null;985,424244;24,019062;5,1;1,746809
30/06/2021;1;1;986,701667;23,387644;5,4;1,755889
31/07/2021;1;0,4;988,674731;22,985139;5;1,917358
31/08/2021;6;8,6;988,394489;23,503763;6,4;2,302151
30/09/2021;2;2;984,952639;26,974167;5,4;2,699444
31/10/2021;6;76,8;982,733871;27,60914;6,7;2,630242
30/11/2021;17;218,4;981,158056;25,285833;6,8;1,719445
31/12/2021;21;462,6;980,467683;24,858386;6,4;1,645112
