Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;7;null;null;null;7,8;null
28/02/2018;5;null;null;null;6;null
31/03/2018;15;276,4;921,347029;22,387325;7,6;1,809483
30/04/2018;10;null;924,548342;20,160069;6,5;1,580167
31/05/2018;19;67,6;925,589263;17,756452;6,9;1,373925
30/06/2018;9;2,6;null;17,620278;5,8;1,267222
31/07/2018;11;3,4;null;16,596371;5,6;1,285753
31/08/2018;11;102,6;null;17,530242;6,6;1,690995
30/09/2018;8;77,4;null;19,05875;6,4;2,003611
31/10/2018;14;248,8;null;20,793145;10,5;2,35
30/11/2018;18;148,4;null;20,690417;7,6;2,492778
31/12/2018;19;211,2;922,111156;21,679704;7,5;1,812769
31/01/2019;6;36,6;924,058468;23,227151;6,7;2,133871
28/02/2019;12;94;921,813095;22,824702;10,8;1,784821
31/03/2019;17;87,2;922,99422;22,420027;6,1;1,734946
30/04/2019;16;93,8;922,816667;21,647222;5,3;1,385278
31/05/2019;11;25;923,899569;19,657184;6,1;1,268391
30/06/2019;3;8,2;927,841111;17,779583;7;1,504028
31/07/2019;5;null;926,533227;16,455167;7,2;1,580833
31/08/2019;null;null;929,006944;17,484549;6,1;1,856945
30/09/2019;3;20,4;925,463472;20,10125;6,5;2,238194
31/10/2019;7;76;923,220161;21,662097;8,8;2,717876
30/11/2019;19;243,8;921,401667;21,68625;7,7;2,387917
31/12/2019;16;314;921,960618;21,902285;8,1;2,375269
31/01/2020;21;277,8;920,548876;22,757392;7,1;1,863076
29/02/2020;18;281,2;922,491092;22,062644;8,6;1,804167
31/03/2020;16;195,6;922,883737;20,967473;7,1;1,657661
30/04/2020;8;null;null;20,482727;6,7;null
31/05/2020;8;null;null;17,202462;8,1;null
30/06/2020;17;6,6;926,914305;17,280278;6;1,37875
31/07/2020;13;27,2;926,847522;17,326888;6,6;1,529038
31/08/2020;10;23,4;927,201075;17,185753;7;1,885484
30/09/2020;2;2,6;925,417222;20,791667;6,8;1,970139
31/10/2020;2;null;922,602961;21,543091;7;2,145997
30/11/2020;7;null;null;null;6,6;null
31/12/2020;null;null;null;null;null;null
31/01/2021;null;null;null;null;null;null
28/02/2021;null;null;null;null;7,2;null
31/03/2021;null;null;null;null;10,5;null
30/04/2021;null;null;null;null;5,8;null
31/05/2021;null;null;null;null;5,9;null
30/06/2021;null;null;null;null;6,3;null
31/07/2021;null;null;null;null;6,3;null
31/08/2021;null;null;null;null;6,6;null
30/09/2021;null;null;null;null;7,2;null
31/10/2021;6;null;null;null;7,5;null
30/11/2021;20;222,8;920,746975;20,579638;7,6;2,282754
31/12/2021;22;166,2;920,22586;21,024808;7,5;2,161666
