Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;22;322,4;918,547177;22,340457;8,1;1,613844
28/02/2018;16;165,8;918,016369;22,047024;6,8;1,554911
31/03/2018;14;162,2;918,328764;22,94086;4,9;1,575134
30/04/2018;8;57,4;921,600278;20,455694;4,6;1,58
31/05/2018;6;30,8;922,779839;18,033871;4,6;1,692473
30/06/2018;3;23;923,57;18,526389;4;1,587778
31/07/2018;1;0,4;923,554839;17,195161;5;1,760215
31/08/2018;9;68;923,003763;18,50121;6,3;1,814516
30/09/2018;10;58,8;919,665;21,213889;5,9;1,864722
31/10/2018;19;279;918,652285;22,54422;7,1;1,81922
30/11/2018;22;241,8;918,504583;21,775278;7,3;1,878611
31/12/2018;20;176,8;918,849462;22,87164;7,1;1,808737
31/01/2019;15;176,6;920,6625;23,486962;5,6;1,62043
28/02/2019;21;229,2;918,691667;22,580804;8,2;1,568304
31/03/2019;22;284,2;920,199731;21,912366;8,2;1,472581
30/04/2019;18;139;919,856123;21,590767;5,3;1,543587
31/05/2019;14;50,4;920,985349;19,592204;5,5;1,605645
30/06/2019;10;9,4;924,502917;17,388472;5,6;1,662917
31/07/2019;4;13,6;923,755108;16,527823;5,8;1,902957
31/08/2019;4;41;924,489247;18,893952;5,3;1,879436
30/09/2019;7;68;920,883611;23,167917;9,2;1,920278
31/10/2019;12;89,4;919,066801;23,5875;5,8;1,863441
30/11/2019;20;323;917,675972;22,824861;9,3;1,7475
31/12/2019;null;null;918,269624;22,766667;6,7;1,59761
31/01/2020;14;146,4;917,433064;23,012231;6,7;1,590277
29/02/2020;26;358,2;919,045115;22,295546;6,1;1,638218
31/03/2020;15;122,4;919,608602;21,923118;5,3;1,602957
30/04/2020;8;11;921,062639;20,252361;6,4;1,581389
31/05/2020;10;24,8;922,505645;16,922446;4,7;1,668548
30/06/2020;5;2;923,345833;18,597917;6,8;1,698889
31/07/2020;1;0,2;923,047581;18,425269;5,9;1,910215
31/08/2020;2;6,8;923,060753;19,332258;7,3;1,990457
30/09/2020;2;4,4;921,144306;23,608472;5,5;2,012778
31/10/2020;11;94,8;918,324462;23,921371;7;2,069489
30/11/2020;11;109;918,500972;22,889167;6,7;1,935972
31/12/2020;30;328,6;918,298925;22,286425;7;1,592789
31/01/2021;7;null;null;null;null;null
28/02/2021;null;null;null;null;null;null
31/03/2021;null;null;null;null;null;null
30/04/2021;null;null;null;null;null;null
31/05/2021;null;null;null;null;null;null
30/06/2021;null;null;null;null;null;null
31/07/2021;null;null;null;null;null;null
31/08/2021;null;null;null;null;null;null
30/09/2021;null;null;null;null;null;null
31/10/2021;null;null;null;null;null;null
30/11/2021;null;null;null;null;null;null
31/12/2021;null;null;null;null;null;null
