Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;14;215,2;907,760963;23,024988;6,5;null
28/02/2018;16;122,2;907,137202;22,529464;6,5;1,720833
31/03/2018;14;192,8;907,593096;23,303641;5,5;1,512085
30/04/2018;10;53,6;910,305803;21,202192;5,1;1,338007
31/05/2018;3;23,4;911,562157;19,592794;5,4;1,285156
30/06/2018;null;0;912,422989;20,17128;5,5;1,445468
31/07/2018;0;0;912,388441;20,122581;7,1;1,602688
31/08/2018;5;20,2;911,744355;21,27043;6,1;1,786021
30/09/2018;7;34,6;908,722917;23,311443;7,6;2,049257
31/10/2018;11;127;907,704926;23,763973;7,7;1,848609
30/11/2018;15;339;907,763163;21,7169;6,1;1,887475
31/12/2018;18;195,4;908,17604;22,873685;6,3;1,845465
31/01/2019;10;128,4;909,790644;24,096698;8,5;1,26797
28/02/2019;15;254,4;907,997063;23,445956;8,7;1,695225
31/03/2019;18;186,4;909,099047;22,679739;5,8;1,319331
30/04/2019;13;105,8;908,988321;22,409456;8,5;1,297464
31/05/2019;7;127,2;910,022768;21,245536;4,2;0,779464
30/06/2019;1;3,4;913,121983;19,531178;6;1,338412
31/07/2019;0;0;912,525538;18,880914;7,2;1,281855
31/08/2019;0;0;913,196102;21,258199;6,6;1,341936
30/09/2019;1;null;910,028261;25,266116;6,3;1,580326
31/10/2019;10;52,2;908,116159;24,488399;5,8;1,427374
30/11/2019;19;116,4;906,772778;23,784583;10,7;1,926528
31/12/2019;20;281,2;907,552045;23,099795;6;1,736331
31/01/2020;20;221,2;906,832796;23,440591;7,5;1,757124
29/02/2020;25;305,4;908,489511;22,461494;6,7;1,899856
31/03/2020;4;null;null;null;null;null
30/04/2020;null;null;null;null;null;null
31/05/2020;1;null;null;null;4,7;null
30/06/2020;null;null;null;null;4,3;null
31/07/2020;null;null;null;null;3,8;null
31/08/2020;2;null;911,243827;20,589815;6,2;1,450617
30/09/2020;2;1,4;910,382639;24,442917;6,8;1,513472
31/10/2020;14;201,2;907,570027;24,673118;6,6;1,678898
30/11/2020;14;135,6;907,727222;22,694444;6;1,623333
31/12/2020;20;279,6;907,444409;22,927361;6,7;1,582742
31/01/2021;12;59,6;907,755108;23,272984;7;1,438306
28/02/2021;22;331,4;906,696577;22,12381;6,5;1,769494
31/03/2021;12;106,8;908,282124;22,738306;5,5;1,503091
30/04/2021;10;49,6;908,944583;21,482778;4,9;1,326806
31/05/2021;0;0;910,781048;20,807124;5,4;1,332661
30/06/2021;3;5,2;911,500556;20,112917;5,6;1,446944
31/07/2021;0;0;913,021371;18,529032;8;1,645968
31/08/2021;0;0;912,135464;21,166435;7,2;1,934213
30/09/2021;null;null;null;null;null;null
31/10/2021;null;null;null;null;null;null
30/11/2021;12;null;null;21,997292;null;null
31/12/2021;21;335;905,689516;22,120161;null;null
