Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;16;346;924,858602;23,87957;null;null
28/02/2018;16;150,4;924,361309;23,254762;6,1;1,989137
31/03/2018;12;62,6;924,586693;23,984274;6,6;1,746237
30/04/2018;3;3;927,956528;21,694722;6,1;2,070694
31/05/2018;2;23,4;929,254167;18,970027;7,1;2,01586
30/06/2018;3;9,6;930,158472;19,213195;5,7;1,786389
31/07/2018;0;0;930,095565;18,455645;5;1,862634
31/08/2018;9;46,6;929,56129;19,366532;null;null
30/09/2018;9;48,2;926,237639;22,147778;6,3;2,147222
31/10/2018;16;132,8;925,051344;23,588441;7,9;2,19207
30/11/2018;18;350,2;925,414722;22,360139;7,5;2,038333
31/12/2018;15;201,2;925,213306;23,639598;8,4;2,003302
31/01/2019;9;115,8;926,966801;25,20457;8,1;1,872043
28/02/2019;14;378,4;925,064732;24,017708;9,4;1,920387
31/03/2019;13;167,6;926,380511;23,384812;6,3;2,03414
30/04/2019;9;92;926,093611;22,862222;5,5;1,762361
31/05/2019;8;19,8;927,236021;20,990054;5,4;1,712634
30/06/2019;2;15,8;931,024306;18,635833;9,1;2,035278
31/07/2019;1;0,8;930,394892;17,449866;7;2,161425
31/08/2019;0;0;931,170699;20,063441;8,3;2,483468
30/09/2019;2;57,2;927,614444;23,917083;7,2;2,346944
31/10/2019;8;95,8;925,589516;24,322715;8,6;2,297446
30/11/2019;18;156,6;924,180695;23,445139;8,9;2,301667
31/12/2019;14;309,8;924,806183;23,715995;6,4;2,061828
31/01/2020;18;312,6;923,733403;24,10537;7,4;2,061337
29/02/2020;19;311,4;925,652299;23,395546;7;1,969971
31/03/2020;16;115,8;926,040054;22,628763;8,4;2,025269
30/04/2020;12;60,6;927,403889;21,714686;5,5;2,03846
31/05/2020;11;32;928,943011;18,157661;5;1,875134
30/06/2020;1;0,2;930,099444;18,736528;6,5;1,877361
31/07/2020;1;0,2;929,770296;19,31901;6,3;1,953296
31/08/2020;2;11,2;929,956452;19,349059;6,8;2,305511
30/09/2020;2;12,8;927,973478;23,512017;7,5;2,239535
31/10/2020;12;94,2;924,960618;24,069489;8,6;2,455242
30/11/2020;14;127,6;925,03875;23,349583;7,7;2,255
31/12/2020;23;191,4;924,571237;23,717742;8,6;1,972581
31/01/2021;13;198,8;925,005107;24,115457;7,9;1,941532
28/02/2021;20;212;923,865923;22,954762;7,1;1,963542
31/03/2021;10;80,6;925,41129;23,656855;5,1;1,730511
30/04/2021;null;null;926,427361;21,358333;5,8;2,226528
31/05/2021;1;3,2;928,117742;20,116129;7,1;1,990188
30/06/2021;5;17,8;929,151111;18,546667;5,4;2,000972
31/07/2021;0;0;930,944086;17,012097;5,4;2,289919
31/08/2021;2;2,4;930,125941;20,091532;7,6;2,259005
30/09/2021;3;5;926,84;24,687639;9,3;2,419306
31/10/2021;20;212,6;925,483333;22,840591;7,6;2,412903
30/11/2021;11;141,4;923,623195;22,946667;6,8;2,285
31/12/2021;19;277,2;923,122043;22,85914;9,2;2,148656
