Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;null;null;915,680645;23,715323;11,7;2,330511
28/02/2018;null;null;915,118006;22,854167;7,9;2,416518
31/03/2018;null;189,2;915,503103;23,772236;5,7;2,193607
30/04/2018;null;67,2;918,147361;21,762778;6,8;2,356528
31/05/2018;null;5,8;919,416936;20,423522;6,2;2,30457
30/06/2018;null;0;920,433333;20,818889;5,9;2,202917
31/07/2018;null;0;920,340995;20,508064;7,3;2,259005
31/08/2018;null;9,6;919,616129;21,925538;8;2,667339
30/09/2018;null;27,6;916,601806;23,736944;7,4;2,827639
31/10/2018;null;86,8;915,491935;24,80578;8,4;2,769892
30/11/2018;null;385,6;915,722917;22,093194;8,4;2,890972
31/12/2018;null;232,6;916,162903;23,364113;9,7;2,346102
31/01/2019;null;null;null;25,039131;8,8;null
28/02/2019;null;181,4;915,895089;24,320089;7,2;2,315179
31/03/2019;null;96,6;916,879436;23,607661;6,7;2,415591
30/04/2019;null;91,2;916,862222;23,545417;5,7;1,907639
31/05/2019;null;90,6;917,75457;22,401344;6,9;2,044086
30/06/2019;null;0;921,015833;20,298611;7,3;2,469305
31/07/2019;null;0;920,486828;19,743548;7,1;2,540995
31/08/2019;null;0,4;921,119624;21,740591;7,6;2,820565
30/09/2019;null;13,6;917,909167;25,066111;7,7;2,868333
31/10/2019;null;null;915,833042;25,470207;9,9;2,878409
30/11/2019;null;null;null;null;10,5;null
31/12/2019;null;199,4;915,406183;23,674194;8,1;2,44664
31/01/2020;null;326;914,809677;24,154032;6,8;2,535618
29/02/2020;null;240,8;916,438649;23,136351;7,2;2,173563
31/03/2020;null;164,8;916,466667;22,584005;6,9;2,107796
30/04/2020;null;57;917,899444;22,280833;6,5;1,979861
31/05/2020;null;null;919,417901;20,390972;6;1,942945
30/06/2020;null;0;920,302917;20,154028;7,2;2,143056
31/07/2020;null;0;919,96142;20,545679;7,3;2,075463
31/08/2020;null;0,4;919,855511;20,28078;8,1;2,877151
30/09/2020;null;0,4;918,260972;24,408056;7,5;2,712222
31/10/2020;null;97,2;915,441129;25,029167;7,1;2,859677
30/11/2020;null;137,8;915,675278;23,165;7,1;2,570556
31/12/2020;null;238,8;915,358871;23,748925;6,4;1,986694
31/01/2021;null;91,2;915,602151;23,88965;7,1;1,964113
28/02/2021;null;294,6;914,677827;22,343601;6,5;2,354911
31/03/2021;null;43;916,165726;23,608871;8,2;1,963978
30/04/2021;null;null;916,597942;22,823718;7,5;1,824537
31/05/2021;null;null;null;null;6,4;null
30/06/2021;null;null;null;20,72875;5,7;null
31/07/2021;null;null;null;null;5,6;null
31/08/2021;null;null;null;null;8,5;null
30/09/2021;null;null;null;26,369363;7,3;null
31/10/2021;13;119,6;915,76707;24,003764;7,8;2,668145
30/11/2021;5;null;null;null;7;null
31/12/2021;13;null;null;22,204654;8;null
