Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;null;65;955,277203;25,806306;7,6;1,204079
28/02/2018;null;138,4;954,897904;24,814176;5,2;1,286685
31/03/2018;null;92;955,089993;25,520406;3,8;1,182405
30/04/2018;null;44,2;958,10628;23,573702;5;1,149106
31/05/2018;null;29,4;959,555154;21,730797;6,4;1,201654
30/06/2018;null;0;960,542317;21,399178;3,8;1,11596
31/07/2018;null;0;960,645699;20,717742;4,6;1,201075
31/08/2018;null;4,8;959,656855;23,170161;4,9;1,207796
30/09/2018;null;0;956,287832;25,559414;6,2;1,313708
31/10/2018;null;98,8;954,947452;27,2696;6,2;1,203162
30/11/2018;null;223,8;955,622196;24,563276;4,4;0,594392
31/12/2018;null;342,4;955,995979;24,80762;4,5;0,610098
31/01/2019;null;161,8;957,085215;26,40793;7,6;0,790726
28/02/2019;null;200,2;955,397561;25,796144;4,2;1,016867
31/03/2019;null;103,4;956,368747;25,521961;5,3;1,008813
30/04/2019;null;null;956,536538;25,1125;4,6;0,893269
31/05/2019;null;3,8;957,380107;23,742339;4,9;0,858871
30/06/2019;null;0;961,182222;21,624583;5,4;1,132917
31/07/2019;null;null;null;21,469928;5,8;null
31/08/2019;null;0;961,483889;23,139167;5,1;1,660972
30/09/2019;null;25,6;957,699445;26,331944;5,3;1,781945
31/10/2019;null;37,2;955,367841;27,615773;5,9;1,9206
30/11/2019;null;164;953,930529;27,443484;5;1,455352
31/12/2019;null;196,2;954,919781;26,333029;6;1,525205
31/01/2020;null;276,8;954,583941;25,798276;4,9;1,560712
29/02/2020;null;199,6;956,109776;25,647514;3,9;1,268378
31/03/2020;null;180;956,36134;24,727367;3,8;1,398926
30/04/2020;null;61,2;957,805833;24,265417;4,9;1,314722
31/05/2020;null;34,4;959,639919;20,971909;4,3;1,153629
30/06/2020;null;0;960,695139;20,639861;5,1;1,248056
31/07/2020;null;0;960,453226;21,04207;5,6;1,518952
31/08/2020;null;0;960,234274;22,403226;5,6;1,853495
30/09/2020;null;0,8;958,048889;25,825417;5,2;1,914583
31/10/2020;null;111,6;955,009409;26,589919;5,7;1,673925
30/11/2020;null;203,6;955,571274;25,061674;4,5;1,578986
31/12/2020;null;155;955,027656;25,679177;4,8;1,310647
31/01/2021;null;null;955,303657;26,138808;5,9;1,479878
28/02/2021;null;402,2;954,577776;24,509466;5,4;1,453752
31/03/2021;null;90;955,925904;24,708291;4,3;1,306692
30/04/2021;null;19,2;956,620278;23,623056;5;1,274028
31/05/2021;null;0;958,713802;22,345918;4,5;1,164452
30/06/2021;null;null;959,619554;null;4,4;1,330232
31/07/2021;null;null;961,382908;null;5,4;1,454905
31/08/2021;null;null;null;null;5,5;null
30/09/2021;null;null;null;null;5,8;null
31/10/2021;null;null;null;null;5,5;null
30/11/2021;4;null;null;null;4,7;null
31/12/2021;21;277,6;953,636119;24,713533;4,5;1,446813
