Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;null;null;944,976478;27,706183;5,6;1,764382
28/02/2018;16;209,4;944,436161;26,636458;6,5;1,583036
31/03/2018;5;null;null;null;null;null
30/04/2018;4;null;null;null;4,1;null
31/05/2018;7;null;949,449462;null;5,2;1,142371
30/06/2018;3;null;null;null;5,4;null
31/07/2018;15;3,8;950,716936;21,037903;5,1;1,223118
31/08/2018;5;9,4;950,226613;22,425538;5,4;1,487769
30/09/2018;7;39;947,071111;23,986806;4,7;1,630066
31/10/2018;14;71,6;945,539516;25,914919;8,8;2,026075
30/11/2018;15;93;945,938333;25,417639;7,1;1,98125
31/12/2018;17;244,4;945,275;25,935484;6;1,515591
31/01/2019;3;39,6;947,198253;27,436425;5,5;1,771371
28/02/2019;12;200,4;944,828125;26,947917;7,2;1,36369
31/03/2019;13;36,8;946,006452;26,72836;4,8;1,359274
30/04/2019;13;107,6;945,912083;25,718611;5,3;1,123611
31/05/2019;18;65,6;947,152554;23,595699;4,2;0,958065
30/06/2019;8;1,6;951,285;22,125;5,1;1,18625
31/07/2019;5;1;950,765188;20,604301;4,9;1,332661
31/08/2019;4;2;952,147043;22,103898;5;1,554436
30/09/2019;1;22,8;948,791111;24,3625;5,9;1,929583
31/10/2019;6;65;946,443145;26,008602;5,6;2,238172
30/11/2019;14;198,4;944,498333;25,909028;7,8;1,808611
31/12/2019;15;204,2;945,123118;25,835753;6,6;1,730511
31/01/2020;18;395,2;943,632759;26,589064;4,4;1,399279
29/02/2020;16;184;945,568822;26,149138;9,2;1,166092
31/03/2020;16;null;null;24,93053;3,7;null
30/04/2020;null;null;null;null;null;null
31/05/2020;null;null;null;null;null;null
30/06/2020;null;null;null;null;null;null
31/07/2020;null;null;null;null;null;null
31/08/2020;null;null;null;null;null;null
30/09/2020;3;3,6;948,747361;24,314167;4,8;1,606667
31/10/2020;5;null;null;25,836711;6,7;null
30/11/2020;null;null;null;null;4,5;null
31/12/2020;5;null;null;null;4,6;null
31/01/2021;4;109,8;945,427823;26,024059;5,8;1,828629
28/02/2021;17;375,6;944,018006;25,164732;4,5;1,423661
31/03/2021;9;113,6;945,370296;25,429704;5,4;1,267742
30/04/2021;16;58,6;946,416111;23,200556;4,6;1,026806
31/05/2021;13;25;948,29328;21,839651;4,1;0,922984
30/06/2021;16;19,2;949,567361;20,05875;5;0,945556
31/07/2021;1;0,2;951,376882;19,596371;5,2;1,123253
31/08/2021;2;0,4;951,211022;21,173253;5,6;1,643683
30/09/2021;3;1,6;947,863611;24,6775;6,1;1,824306
31/10/2021;15;179,8;946,245027;24,524193;6,1;1,926075
30/11/2021;16;296,4;943,997639;24,0175;5,9;1,595278
31/12/2021;19;217,8;943,399328;24,520296;4,9;1,504436
