Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;9;61;918,992876;23,065726;6,5;2,504301
28/02/2018;16;241,2;918,495238;22,344643;6;1,991369
31/03/2018;11;null;918,187862;22,864855;6;1,673551
30/04/2018;8;4,4;921,1225;21,075278;5,5;2,076528
31/05/2018;9;13,8;922,488978;19,756048;5,2;1,839919
30/06/2018;3;1,6;923,826667;19,022222;5,3;1,676528
31/07/2018;3;1,6;923,797177;18,258199;5,6;1,783737
31/08/2018;0;0;923,139247;20,945027;6;2,147715
30/09/2018;1;1,8;920,354583;22,369306;5,4;2,439306
31/10/2018;11;83;919,137634;23,509005;6,2;2,335349
30/11/2018;13;187,6;919,296667;21,929306;5,6;2,313194
31/12/2018;17;228,4;919,600806;22,081452;6,5;1,551613
31/01/2019;4;36,6;920,895968;23,172312;6,7;2,259409
28/02/2019;9;50,8;918,903869;24,191369;6,3;1,74122
31/03/2019;11;77,2;919,639785;23,73871;6,6;1,747984
30/04/2019;8;78,4;919,883333;22,766945;5,7;1,251111
31/05/2019;4;24,6;920,75672;21,504032;4,8;1,35
30/06/2019;6;4,4;924,148889;19,1375;6,5;1,676944
31/07/2019;7;8,8;923,772043;17,991532;6,2;1,994893
31/08/2019;8;11;924,979839;19,158468;7,1;2,469489
30/09/2019;3;4;922,037917;21,507083;7,3;2,718195
31/10/2019;4;48,8;919,770833;23,393683;6;2,858065
30/11/2019;6;117,8;918,014722;23,9275;6,3;2,302361
31/12/2019;6;99,4;918,689247;23,592607;11,8;2,284005
31/01/2020;16;133,6;918,513306;23,368952;6,3;1,783468
29/02/2020;13;55,4;919,41954;23,743678;7,9;1,498851
31/03/2020;18;326,4;919,665188;21,960618;6,7;1,586425
30/04/2020;16;81,6;921,057917;21,315972;5,8;1,574306
31/05/2020;10;58,8;922,445699;19,667339;4,8;0,581989
30/06/2020;9;5;923,551111;18,209861;5,8;1,00125
31/07/2020;10;2,8;923,536425;17,980108;6,1;1,304032
31/08/2020;5;2,6;923,431855;18,885081;5,9;0,773925
30/09/2020;0;0;922,0925;21,639861;6;1,014028
31/10/2020;9;110,2;919,116935;23,888978;6,5;0,548253
30/11/2020;18;226,2;919,273056;21,402222;6,4;0,240556
31/12/2020;6;47;918,810484;22,742473;5;0,148925
31/01/2021;null;null;918,957124;23,361021;6,3;0,262097
28/02/2021;14;199,8;918,25878;22,269196;6;0,32128
31/03/2021;5;16,6;919,20336;22,195161;5,9;0,183468
30/04/2021;8;10,8;919,913472;21,161528;8,9;0,10125
31/05/2021;1;0,2;921,860081;19,582392;3,7;0,033333
30/06/2021;3;0,8;922,679167;18,500556;5,7;0,075139
31/07/2021;1;3;924,250269;17,575403;5,9;0,159812
31/08/2021;5;3,2;923,88629;18,674194;5,5;0,456989
30/09/2021;2;5,2;921,262256;22,179367;6;0,343534
31/10/2021;8;69,2;919,432527;23,415457;6,1;0,413441
30/11/2021;19;180,6;918,040083;21,60273;7,4;0,319074
31/12/2021;21;546,2;917,358333;21,785215;6,7;2,18414
