Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;7;33,8;928,877419;23,262903;12,8;2,336693
28/02/2018;15;135,2;928,298512;22,682589;9,8;1,899127
31/03/2018;15;59,2;928,37621;22,860215;7,6;1,576613
30/04/2018;11;9,8;930,950972;21,385833;7,5;2,061667
31/05/2018;9;17;932,324425;19,993535;6,5;2,089081
30/06/2018;9;13,2;933,851806;19,026111;6,8;1,950694
31/07/2018;null;null;933,745192;18,191827;7,8;1,950962
31/08/2018;1;null;null;20,424431;8,4;null
30/09/2018;null;null;null;21,633889;6,9;null
31/10/2018;6;null;null;23,492753;5,9;null
30/11/2018;13;155,4;929,252222;22,237361;8,6;2,3875
31/12/2018;18;171,2;929,40578;22,240591;7,7;1,75336
31/01/2019;4;3,4;930,791936;23,149059;7,6;2,164382
28/02/2019;5;33;928,573214;24,73006;6,2;1,832143
31/03/2019;10;null;null;23,382765;7,4;null
30/04/2019;14;101,4;929,655;22,530972;5,7;1,316667
31/05/2019;3;null;930,411458;21,376736;4,7;1,385243
30/06/2019;5;null;934,183333;19,044565;6,8;1,830435
31/07/2019;10;null;null;17,261403;7,3;null
31/08/2019;13;17,4;935,083333;18,971909;8,3;2,382796
30/09/2019;null;null;931,73663;21,350167;7,1;2,597024
31/10/2019;5;79,4;929,910887;23,305914;10,7;3,064382
30/11/2019;5;21,8;927,966806;24,038056;7,2;2,339306
31/12/2019;10;69,4;928,649866;23,634409;6,9;2,435753
31/01/2020;15;130,4;928,334005;23,672984;7,7;2,088575
29/02/2020;7;58;929,184483;24,041667;8,1;1,842816
31/03/2020;18;198,6;929,395564;22,282392;8,3;1,674462
30/04/2020;14;104,4;930,794028;21,467917;8,6;1,512361
31/05/2020;11;38,2;932,308065;19,7375;6,2;1,424462
30/06/2020;9;8,6;933,486944;18,065556;6,9;1,560972
31/07/2020;7;null;null;17,466228;7,9;null
31/08/2020;null;null;null;null;null;null
30/09/2020;null;null;null;null;null;null
31/10/2020;8;null;928,871354;23,065799;9,7;2,532465
30/11/2020;20;226,4;929,214722;21,297778;7;2,061111
31/12/2020;2;40,8;928,753091;22,701613;7;2,026344
31/01/2021;7;48,4;928,887769;23,10793;7,8;2,207661
28/02/2021;14;110,4;928,092262;22,632441;6,2;1,845685
31/03/2021;3;3,2;928,90672;22,049194;6,1;1,609946
30/04/2021;7;30,8;929,702222;21,391806;7,4;1,650278
31/05/2021;1;0,6;931,750806;18,917339;6,4;1,370564
30/06/2021;3;1,2;932,629861;18,239861;7,3;1,458472
31/07/2021;0;0;934,298253;17,476613;6,9;1,665995
31/08/2021;9;8;934,044758;18,195161;7,2;2,231183
30/09/2021;3;1,4;931,412069;21,774856;7,7;2,47227
31/10/2021;9;72,4;929,517608;23,270296;7,3;2,640995
30/11/2021;14;186,2;928,155556;21,925321;9,2;1,899938
31/12/2021;4;null;null;null;8,7;null
