Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;11;125,4;957,554839;25,364516;9,4;1,337366
28/02/2018;15;315,2;957,129911;24,39122;6,4;1,083929
31/03/2018;13;57;957,218011;24,461962;6,9;0,979973
30/04/2018;6;5,6;960,12875;23,735417;4,9;1,331111
31/05/2018;7;29,8;961,680645;22,542473;6,1;1,255645
30/06/2018;4;7,8;963,135;21,580972;5,4;1,129306
31/07/2018;1;0,6;963,175397;21,13996;4,6;1,169162
31/08/2018;1;7,6;962,25578;24,100538;5,4;1,594758
30/09/2018;2;2,2;959,207639;25,389167;8,3;1,835417
31/10/2018;10;134,8;957,762231;26,503091;7,6;1,735618
30/11/2018;12;159,6;958,129722;24,364861;6,6;1,171806
31/12/2018;15;204,2;958,284543;23,945296;9,6;1,00672
31/01/2019;2;8,8;959,516801;25,489382;4,2;1,183871
28/02/2019;8;66,4;957,202232;26,835268;7,8;1,279762
31/03/2019;17;90,4;958,138038;26,390591;5,2;1,115995
30/04/2019;12;71,2;958,431944;25,192083;4,2;0,937917
31/05/2019;4;6;959,488692;24,159689;4,9;0,953273
30/06/2019;5;5,8;963,437947;22,329468;4,6;1,335495
31/07/2019;6;5,2;963,245161;21,034005;5,4;1,465591
31/08/2019;6;7,4;964,449194;22,418011;4,8;1,584274
30/09/2019;1;0,8;961,054179;25,049921;5,2;1,753043
31/10/2019;6;25,6;958,454032;27,050538;5,2;2,142608
30/11/2019;7;62,4;956,390139;27,716111;7,8;1,880972
31/12/2019;6;56,8;957,205452;26,698247;8,2;1,687687
31/01/2020;16;168,4;956,822312;26,413441;7,6;1,441263
29/02/2020;14;116,2;957,933908;25,934339;5,8;1,171552
31/03/2020;19;337;958,482124;24,001613;5,3;1,031317
30/04/2020;11;47,8;960,006806;23,477083;5,6;1,13125
31/05/2020;7;35,6;961,688305;21,789215;5,3;0,979627
30/06/2020;1;null;962,754712;null;4,3;null
31/07/2020;null;null;962,989966;null;4,6;null
31/08/2020;null;null;null;null;5,3;null
30/09/2020;null;null;null;null;5,4;null
31/10/2020;null;null;null;null;6;null
30/11/2020;null;null;null;null;6,4;null
31/12/2020;null;null;null;null;5,1;null
31/01/2021;6;24,2;957,529032;25,955242;4,9;1,240726
28/02/2021;20;312,4;956,886885;24,291434;5,5;1,00108
31/03/2021;8;32;957,954143;23,706148;7;0,892578
30/04/2021;6;10,2;958,789028;23,344583;4,3;1,047778
31/05/2021;1;0,4;960,954032;21,722849;4,3;1,02043
30/06/2021;2;1;962,018472;20,754861;4,6;1,041944
31/07/2021;1;1,4;963,805108;20,051882;4,2;1,149059
31/08/2021;4;null;null;20,877813;4,6;null
30/09/2021;null;null;null;null;5;null
31/10/2021;null;null;null;null;5,1;null
30/11/2021;null;null;null;null;6,7;null
31/12/2021;25;541,2;956,065323;23,678226;4,5;0,896505
