Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;6;33,2;977,141223;27,191199;6,4;1,513289
28/02/2018;13;243,6;976,778675;25,54355;6;1,024631
31/03/2018;11;122;976,838203;25,476127;4,9;0,729522
30/04/2018;9;22,6;980,173128;23,94247;5,3;0,755918
31/05/2018;6;12,6;981,811482;22,794939;5,6;1,093998
30/06/2018;2;0,8;983,170435;22,303819;5,9;1,125405
31/07/2018;2;1,2;983,333871;21,583333;6;1,230242
31/08/2018;1;0,2;982,377554;24,557258;8;1,651479
30/09/2018;2;4,4;979,13785;25,992162;5,8;1,993074
31/10/2018;11;96,8;977,560887;27,206586;10,5;1,97621
30/11/2018;10;93,2;977,992063;25,280385;5,2;1,377591
31/12/2018;14;138,4;977,94602;24,853068;8,7;0,94401
31/01/2019;6;30,2;979,135571;27,335677;11,1;1,595775
28/02/2019;9;116,6;976,734614;27,631192;7,1;1,159925
31/03/2019;10;53,2;977,754301;27,545699;6,7;1,099059
30/04/2019;11;27;978,024722;26,651528;5,6;1,140833
31/05/2019;5;6,6;979,226478;25,439516;5,3;1,090591
30/06/2019;3;4,4;983,57;23,284167;6,5;1,3875
31/07/2019;1;0,2;983,449597;21,604973;6,7;1,399328
31/08/2019;6;8;984,701636;23,097201;7,6;1,859804
30/09/2019;3;1,8;981,113056;25,604583;6,8;2,276111
31/10/2019;3;64,2;978,368243;27,666007;5,9;2,460093
30/11/2019;6;43,6;976,095942;28,280393;6,3;1,890719
31/12/2019;9;65,6;976,865001;27,711559;7,1;1,671476
31/01/2020;16;314,2;976,321371;26,902823;9,2;1,273387
29/02/2020;10;42,6;977,551674;27,033521;6,7;0,890461
31/03/2020;21;186,4;978,337977;24,667542;5,4;0,57482
30/04/2020;5;13,8;979,95375;23,890417;5,2;0,569167
31/05/2020;4;null;null;22,034896;3,9;null
30/06/2020;null;null;null;null;6,7;null
31/07/2020;null;null;null;null;5,7;null
31/08/2020;null;null;null;null;6,3;null
30/09/2020;1;null;980,868885;null;6,3;2,509874
31/10/2020;null;null;977,383017;null;8,8;2,139319
30/11/2020;null;null;978,108534;null;5,1;1,353758
31/12/2020;2;null;977,011651;null;6,4;1,201153
31/01/2021;2;null;977,295679;27,797896;5,7;1,760199
28/02/2021;16;211;976,542411;25,58125;6,8;1,063393
31/03/2021;8;22,4;977,675269;24,880108;6,8;0,737366
30/04/2021;6;47,6;978,649306;24,285556;6,5;0,936667
31/05/2021;3;0,6;980,885351;22,463844;4,7;0,898269
30/06/2021;4;2,2;982,142361;21,469583;5,4;1,050278
31/07/2021;0;0;984,048925;20,966936;6,1;1,206452
31/08/2021;2;4,2;983,678898;22,608065;6,7;1,726075
30/09/2021;2;2,4;980,094964;26,23625;6,1;2,013961
31/10/2021;10;76,8;977,983237;27,191074;5,8;1,851819
30/11/2021;19;174,6;976,575198;24,575919;6,5;0,858385
31/12/2021;20;362,8;975,84112;24,547673;4,8;1,016843
