Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;19;252,2;935,004301;23,507796;8,6;1,44865
28/02/2018;19;154,8;934,511077;23,167275;5,3;1,375168
31/03/2018;15;83,6;934,725315;23,816856;4,5;1,242895
30/04/2018;8;42,2;938,252959;21,106981;5;1,175332
31/05/2018;3;20,2;939,668956;18,066338;4,9;1,043501
30/06/2018;1;0,2;940,414531;18,292596;4,4;0,916636
31/07/2018;0;0;940,504839;16,789651;4,3;0,920161
31/08/2018;7;31,4;939,915188;18,510887;6,7;1,290054
30/09/2018;9;42,6;936,416981;21,123569;6,8;1,417488
31/10/2018;18;120,4;935,220804;23,461314;7,9;1,471388
30/11/2018;22;460,8;935,464583;22,10875;8;1,926389
31/12/2018;19;260,8;935,387728;23,487301;8,9;1,461571
31/01/2019;13;115;937,153091;24,416263;7,1;1,432124
28/02/2019;16;304,6;935,236504;23,563975;7,3;1,357609
31/03/2019;17;155,4;936,696441;23,015025;10,1;1,18774
30/04/2019;13;140,4;936,31628;22,598931;4,5;1,032772
31/05/2019;3;null;937,42032;21,435606;4,7;1,015293
30/06/2019;3;null;null;16,998958;5,6;null
31/07/2019;2;0,6;940,874328;15,730108;7,4;1,200672
31/08/2019;2;5;941,509716;18,635435;5,1;1,282434
30/09/2019;3;59,8;937,677778;22,575694;4,7;1,424861
31/10/2019;8;38,4;935,752419;23,263575;8,1;1,477688
30/11/2019;18;222,2;934,245631;23,732879;7,8;1,457588
31/12/2019;20;220,4;934,897879;23,368741;6,2;1,442689
31/01/2020;26;318,8;933,852688;24,047446;10,1;1,335192
29/02/2020;25;452,8;935,752642;23,118809;6,6;1,523501
31/03/2020;13;65,2;936,238958;22,755779;6,3;1,204102
30/04/2020;13;87;937,649306;21,454306;6,9;1,192361
31/05/2020;12;42,8;939,357258;17,244489;4,2;1,041532
30/06/2020;2;0,4;940,435278;17,633889;6,2;1,139722
31/07/2020;0;0;940,078763;17,798521;6,1;1,157527
31/08/2020;1;8,8;940,260349;17,662231;5,4;1,234274
30/09/2020;2;13;938,12375;21,476806;5,2;1,0125
31/10/2020;13;234,4;935,02043;23,677285;7,5;1,185349
30/11/2020;16;114,8;935,18434;22,733264;8,1;1,48484
31/12/2020;22;256,8;934,760629;23,43688;6,1;1,37474
31/01/2021;10;null;935,230468;23,45579;10,2;1,423551
28/02/2021;20;238,2;933,956101;22,974554;7,3;1,41875
31/03/2021;9;108,4;935,559047;22,883532;8,4;1,298874
30/04/2021;6;15,8;936,756111;20,47125;4,5;1,071944
31/05/2021;5;10,6;938,474731;19,165591;4,8;1,041935
30/06/2021;9;45,6;939,621944;17,412083;4,9;1,001528
31/07/2021;0;0;941,502285;14,738038;6,7;1,212769
31/08/2021;null;null;null;null;4,8;null
30/09/2021;null;null;null;null;6;null
31/10/2021;null;null;null;null;6,3;null
30/11/2021;2;null;null;null;5,8;null
31/12/2021;24;241,6;933,1611;22,720179;6;1,547764
