Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;21;155,4;905,010753;22,212366;9,6;1,837097
28/02/2018;20;110,2;904,584821;21,775149;8,4;1,719643
31/03/2018;20;126,6;904,766801;22,809274;7,5;1,45672
30/04/2018;6;27,6;908,186111;20,653333;6;1,507361
31/05/2018;5;80,4;909,204704;18,601613;7,3;1,279032
30/06/2018;6;31,8;909,997778;18,622361;5,2;1,177639
31/07/2018;2;9,8;909,919758;18,377285;4,2;1,180511
31/08/2018;12;63,2;909,524328;17,788575;10,3;1,670565
30/09/2018;10;86;906,287525;20,409773;9,3;1,893573
31/10/2018;null;null;null;null;11,9;null
30/11/2018;null;null;null;null;6,5;null
31/12/2018;19;248;905,302151;22,358602;9,7;1,762634
31/01/2019;13;142,4;907,183871;23,623253;8;1,819624
28/02/2019;18;173,2;905,191518;22,335566;7,4;1,607143
31/03/2019;18;140,2;906,756452;21,815188;6,6;1,499328
30/04/2019;14;121,6;906,234227;21,840284;8,3;1,330851
31/05/2019;6;95,6;907,342339;19,934946;6,6;1,242876
30/06/2019;1;0,4;910,907222;18,155833;7,9;1,434444
31/07/2019;4;22,4;910,134409;16,873118;6,5;1,559274
31/08/2019;7;18,8;911,267932;17,965505;5,7;1,567189
30/09/2019;8;91,2;907,855417;21,944722;9;1,931389
31/10/2019;9;34,8;905,915995;22,737366;9,4;1,902822
30/11/2019;19;143,2;904,470054;21,676214;14,7;1,932246
31/12/2019;17;162,8;904,857392;22,142473;7,6;1,75672
31/01/2020;21;165,8;903,949328;22,084274;8;1,646774
29/02/2020;24;508,2;905,586457;21,291991;8,5;1,677012
31/03/2020;14;112,2;906,351822;21,266239;9,5;1,685053
30/04/2020;4;9,4;907,518472;20,184444;6,6;1,520556
31/05/2020;6;38,6;908,651747;17,309946;7;1,412903
30/06/2020;6;17,6;909,843889;18,379167;6,1;1,3375
31/07/2020;0;0;909,497849;18,709005;5,6;1,498387
31/08/2020;3;14,2;909,818548;18,50793;7,5;1,883064
30/09/2020;6;41;908,040556;23,138056;7;1,852083
31/10/2020;11;77,8;905,18871;22,528898;9,2;2,265995
30/11/2020;13;108,4;905,129195;21,503971;10,6;1,129028
31/12/2020;25;440,4;904,774782;21,558827;0;0
31/01/2021;12;null;905,222799;23,07288;0;0
28/02/2021;22;244,2;903,959822;21,532143;0;0
31/03/2021;10;136,4;905,498925;22,348522;0;0
30/04/2021;3;11,6;906,767639;19,865833;0;0
31/05/2021;6;7,8;908,10336;18,887634;0;0
30/06/2021;8;33;909,119445;17,257778;0;0
31/07/2021;2;2,6;910,800806;16,115457;0;0
31/08/2021;2;1,8;909,996622;19,323183;0,2;0,000269
30/09/2021;4;15,4;907,07375;23,212083;0;0
31/10/2021;21;254,8;905,788535;19,910246;0;0
30/11/2021;12;217,6;903,693745;21,333539;0;0
31/12/2021;16;null;903,115656;21,29108;0;0
