Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;16;138,8;882,599597;21,944489;7,8;3,422312
28/02/2018;20;315,8;881,968867;20,683068;9,3;3,358612
31/03/2018;23;224,8;882,329412;21,584116;9,4;3,060986
30/04/2018;7;27,6;885,049287;19,681709;13;4,335972
31/05/2018;2;18;886,033366;18,274368;9,8;3,934975
30/06/2018;1;0,6;887,044722;18,331944;9,2;3,366806
31/07/2018;0;0;886,942245;18,104745;9,4;3,67403
31/08/2018;9;58,8;886,462465;18,193128;9,6;4,27805
30/09/2018;12;53,4;883,64375;19,953611;11,4;4,137917
31/10/2018;14;155,4;882,628103;21,139621;9,7;4,148124
30/11/2018;18;340,4;882,851667;19,860972;14,8;4,417639
31/12/2018;16;308,2;882,825941;21,325672;12;3,273118
31/01/2019;6;53,2;884,75336;22,909812;9,4;3,564919
28/02/2019;17;252,6;882,802827;22,182292;9,3;3,074256
31/03/2019;14;139;883,827554;21,742876;10,9;3,608871
30/04/2019;9;88,4;883,64163;21,331208;9,6;3,139644
31/05/2019;7;84;884,475637;19,954511;9;2,828869
30/06/2019;1;19,8;887,768998;17,849475;9,4;3,852186
31/07/2019;null;0;887,008194;17,076153;10;3,894469
31/08/2019;0;0;887,992432;18,46991;12,1;4,595968
30/09/2019;2;31,4;885,180833;21,529306;11,6;4,908611
31/10/2019;7;57,8;883,263978;21,896774;12,7;4,806855
30/11/2019;19;259,2;881,817083;21,370694;12,1;4,364028
31/12/2019;20;266,6;882,458065;21,079704;10,3;3,700134
31/01/2020;25;803;881,541667;21,681183;10,3;2,74879
29/02/2020;23;401,2;883,281022;21,144103;8,8;3,164505
31/03/2020;19;258;883,369758;20,449597;12,5;3,963172
30/04/2020;11;83,4;884,606292;19,768786;8,9;3,529022
31/05/2020;6;44,8;885,652272;17,098089;10,3;3,282958
30/06/2020;2;3,8;886,920997;17,951053;9,7;3,362628
31/07/2020;2;21,4;886,694898;17,878962;12,1;3,582901
31/08/2020;2;12,8;886,731279;17,453497;11,4;4,72365
30/09/2020;4;16,6;885,519565;21,778345;10,2;4,420036
31/10/2020;13;118,6;882,662366;21,577285;12,8;4,324328
30/11/2020;12;231,4;882,565054;20,387295;11,3;3,80468
31/12/2020;20;330,4;882,245652;21,409479;8,3;3,106229
31/01/2021;10;249;882,735215;21,728495;11;3,846505
28/02/2021;22;520,4;881,519643;20,518899;8,1;2,92128
31/03/2021;12;155,6;883,045968;21,314382;7,9;2,982258
30/04/2021;6;23,4;883,588303;19,82273;12,1;3,442289
31/05/2021;2;3;885,151847;19,07012;11,7;2,416147
30/06/2021;3;21,2;885,894583;17,773533;8,8;2,418225
31/07/2021;0;0;887,389581;16,671022;9,6;2,766865
31/08/2021;2;20;887,039269;17,987183;10,6;3,285505
30/09/2021;3;29,2;884,555284;22,267005;10,8;3,155211
31/10/2021;17;203,6;882,959525;20,414317;13,1;3,575958
30/11/2021;15;296,6;881,261332;20,105035;10,6;2,358109
31/12/2021;20;332;880,657527;20,005382;12,1;2,481574
