Data Medicao;DIAS COM PRECIP. PLUV;PRECIPITACAO TOTAL(mm);PRESSAO ATMOSFERICA MEDIA MENSAL(mB);TEMPERATURA MEDIA MENSAL(°C);VENTO VELOCIDADE MAX MENSAL(m/s);VENTO VELOCIDADE MED MENSAL(m/s)
31/01/2018;null;183,2;916,021412;23,672078;8,5;2,553641
28/02/2018;null;300,2;915,622933;22,62269;7,3;2,590522
31/03/2018;null;132,2;915,918236;23,791496;null;null
30/04/2018;null;119,2;918,139952;21,918146;null;null
31/05/2018;null;0;919,382903;21,157946;null;null
30/06/2018;null;0,2;920,438218;21,09277;null;null
31/07/2018;null;0;920,428763;20,996505;6,5;2,794086
31/08/2018;null;34;919,712903;23,160887;7,3;3,02957
30/09/2018;null;11;916,825272;24,693104;7,7;3,250912
31/10/2018;null;96,4;915,712634;25,785215;8,2;2,969892
30/11/2018;null;352;915,97558;22,652554;7,9;2,74994
31/12/2018;null;116;916,764832;23,416912;8,3;2,932182
31/01/2019;null;86,2;917,709198;24,838084;7,2;2,733607
28/02/2019;null;179,8;916,336989;24,135941;8,6;2,397399
31/03/2019;null;299,4;917,054646;23,320173;10,3;2,486179
30/04/2019;null;null;null;23,487897;5,8;null
31/05/2019;null;3,2;917,49879;23,074328;6,8;2,550807
30/06/2019;null;0;920,583889;21,191667;7;2,933472
31/07/2019;null;1,4;920,219892;20,582796;7,6;2,960484
31/08/2019;null;0,4;920,865457;22,698925;8;3,427554
30/09/2019;null;3;917,926528;25,214028;9;3,468472
31/10/2019;null;41,2;915,739247;26,150538;9,5;3,152016
30/11/2019;null;null;914,486253;26,058576;8,3;2,966651
31/12/2019;null;73,6;915,177899;25,337824;6,9;2,905202
31/01/2020;null;233;915,384958;24,118344;9,3;3,104324
29/02/2020;null;198,2;916,545502;23,448657;7,1;2,284689
31/03/2020;null;371,6;916,534009;22,38412;6;2,543843
30/04/2020;null;89,2;917,831944;22,532222;6,6;2,544861
31/05/2020;null;71,8;919,225672;20,583064;6,1;2,515457
30/06/2020;null;0,2;920,056945;20,486944;6,2;2,58
31/07/2020;null;0;919,89207;20,52164;7,8;2,853495
31/08/2020;null;0;919,495968;21,35793;7,3;3,251479
30/09/2020;null;0;918,129861;24,841667;7,4;3,302361
31/10/2020;null;52,4;915,539552;25,58625;8,1;3,169291
30/11/2020;null;null;915,732174;23,288313;9;3,042653
31/12/2020;null;152;915,402891;24,301119;8,3;2,646603
31/01/2021;null;null;915,568356;24,137137;7;2,658217
28/02/2021;null;260,8;914,999148;22,523399;7,6;2,742185
31/03/2021;null;76,6;916,142713;23,277939;6,7;2,396073
30/04/2021;null;106,6;916,648333;22,551528;6,2;2,477222
31/05/2021;null;0;918,543683;21,713844;6,5;2,424462
30/06/2021;null;7,4;919,237917;20,949722;5,9;2,550278
31/07/2021;null;0;920,566532;20,329973;7,5;2,855914
31/08/2021;null;0;919,818952;21,845296;7,1;3,294758
30/09/2021;null;null;917,243536;26,248341;8,3;3,343456
31/10/2021;null;null;null;null;null;null
30/11/2021;null;null;null;null;null;null
31/12/2021;null;null;null;null;null;null
